Alpaca successfully connected
Loaded preprocessed data with shape (23968830, 16)
Getting Numpy arrays from data!

| `step`: Number of samples, or total training steps, or running times of `env.step()`.
| `time`: Time spent from the start of training to this moment.
| `avgR`: Average value of cumulative rewards, which is the sum of rewards in an episode.
| `stdR`: Standard dev of cumulative rewards, which is the sum of rewards in an episode.
| `avgS`: Average of steps in an episode.
| `objC`: Objective of Critic network. Or call it loss function of critic network.
| `objA`: Objective of Actor network. It is the average Q value of the critic network.
|     step      time  |     avgR    stdR    avgS  |     objC      objA
| 5.84e+06     13349  |    -0.92    0.00   12345  |     0.19      0.21
| 5.86e+06     13395  |    -1.04    0.00   12345  |     0.00      0.23
| 5.88e+06     13440  |    -1.03    0.00   12345  |     0.00      0.21
| 5.90e+06     13486  |    -0.90    0.00   12345  |     0.00      0.23
| 5.92e+06     13531  |    -1.37    0.00   12345  |     0.00      0.22
| 5.94e+06     13576  |    -1.06    0.00   12345  |     0.00      0.23
| 5.96e+06     13622  |    -1.11    0.00   12345  |     0.00      0.23
| 5.98e+06     13668  |    -0.99    0.00   12345  |     0.00      0.23
| 6.00e+06     13713  |    -0.93    0.00   12345  |     0.00      0.23
| 6.02e+06     13758  |    -0.89    0.00   12345  |     0.81      0.22
| 6.04e+06     13804  |    -1.08    0.00   12345  |     0.37      0.17
| 6.06e+06     13849  |    -0.82    0.00   12345  |     0.80      0.23
| 6.08e+06     13895  |    -0.93    0.00   12345  |     0.50      0.23
| 6.10e+06     13941  |    -0.90    0.00   12345  |     2.22      0.18
| 6.12e+06     13986  |    -1.01    0.00   12345  |     1.13      0.24
| 6.14e+06     14032  |    -0.96    0.00   12345  |     0.45      0.23
| 6.16e+06     14079  |    -1.12    0.00   12345  |     0.43      0.25
| 6.18e+06     14126  |    -0.86    0.00   12345  |     0.43      0.22
| 6.20e+06     14171  |    -0.90    0.00   12345  |     1.07      0.21
| 6.22e+06     14216  |    -0.90    0.00   12345  |     0.58      0.25
| 6.24e+06     14261  |    -0.83    0.00   12345  |     0.36      0.20
| 6.26e+06     14306  |    -1.17    0.00   12345  |     0.49      0.23
| 6.28e+06     14351  |    -0.89    0.00   12345  |     0.68      0.23
| 6.30e+06     14396  |    -0.91    0.00   12345  |     1.52      0.21
| 6.32e+06     14442  |    -1.10    0.00   12345  |     2.06      0.31
| 6.34e+06     14487  |    -0.84    0.00   12345  |     0.43      0.19
| 6.36e+06     14533  |    -0.83    0.00   12345  |     0.67      0.22
| 6.38e+06     14579  |    -0.87    0.00   12345  |     0.62      0.20
| 6.40e+06     14626  |    -0.91    0.00   12345  |     0.00      0.15
| 6.42e+06     14671  |    -1.08    0.00   12345  |     0.00      0.17
| 6.44e+06     14718  |    -0.98    0.00   12345  |     0.00      0.16
| 6.46e+06     14763  |    -0.82    0.00   12345  |     0.00      0.19
| 6.48e+06     14808  |    -0.92    0.00   12345  |     0.00      0.20
| 6.50e+06     14853  |    -0.93    0.00   12345  |     0.33      0.18
| 6.52e+06     14899  |    -0.99    0.00   12345  |     0.13      0.21
| 6.54e+06     14945  |    -0.90    0.00   12345  |     0.17      0.19
| 6.56e+06     14991  |    -1.04    0.00   12345  |     0.27      0.22
| 6.58e+06     15037  |    -1.12    0.00   12345  |     0.13      0.17
| 6.60e+06     15082  |    -0.83    0.00   12345  |     0.12      0.18
| 6.62e+06     15127  |    -0.87    0.00   12345  |     0.16      0.25
| 6.64e+06     15172  |    -0.76    0.00   12345  |     0.12      0.22
| 6.66e+06     15217  |    -0.94    0.00   12345  |     0.00      0.22
| 6.68e+06     15262  |    -0.88    0.00   12345  |     0.00      0.22
| 6.70e+06     15308  |    -1.03    0.00   12345  |     0.00      0.23
| 6.72e+06     15355  |    -0.95    0.00   12345  |     0.00      0.22
| 6.74e+06     15401  |    -0.96    0.00   12345  |     0.00      0.21
| 6.76e+06     15446  |    -0.88    0.00   12345  |     0.00      0.21
| 6.78e+06     15493  |    -0.92    0.00   12345  |     0.00      0.22
| 6.80e+06     15539  |    -0.90    0.00   12345  |     0.00      0.22
| 6.82e+06     15586  |    -1.01    0.00   12345  |     1.12      0.25
| 6.84e+06     15631  |    -0.95    0.00   12345  |     0.33      0.19
| 6.86e+06     15677  |    -0.84    0.00   12345  |     0.62      0.26
| 6.88e+06     15723  |    -0.98    0.00   12345  |     0.42      0.25
